timestamp,gpu_util_%,mem_used_MiB,mem_total_MiB,mem_util_%,temp_C,power_W
2026/09/22 17:10:03.296, [N/A], 143, 24576, [N/A], 30, 27.36
2026/09/22 17:10:03.307, [N/A], 143, 24576, [N/A], 32, 29.82
2026/09/22 17:10:18.394, [N/A], 145, 24576, [N/A], 30, 27.26
2026/09/22 17:10:18.405, [N/A], 143, 24576, [N/A], 32, 29.81
2026/09/22 17:10:33.525, [N/A], 145, 24576, [N/A], 30, 27.25
2026/09/22 17:10:33.536, [N/A], 143, 24576, [N/A], 32, 29.79
2026/09/22 17:10:48.737, [N/A], 145, 24576, [N/A], 30, 27.26
2026/09/22 17:10:48.748, [N/A], 143, 24576, [N/A], 32, 29.81
2026/09/22 17:11:03.991, [N/A], 145, 24576, [N/A], 30, 27.25
2026/09/22 17:11:04.002, [N/A], 143, 24576, [N/A], 32, 29.81
2026/09/22 17:11:19.230, [N/A], 145, 24576, [N/A], 30, 27.35
2026/09/22 17:11:19.241, [N/A], 143, 24576, [N/A], 32, 29.90
2026/09/22 17:11:34.473, [N/A], 145, 24576, [N/A], 30, 27.25
2026/09/22 17:11:34.485, [N/A], 143, 24576, [N/A], 32, 29.80
2026/09/22 17:11:49.677, [N/A], 145, 24576, [N/A], 30, 27.26
2026/09/22 17:11:49.688, [N/A], 143, 24576, [N/A], 32, 29.70
2026/09/22 17:12:04.782, [N/A], 145, 24576, [N/A], 30, 27.36
2026/09/22 17:12:04.793, [N/A], 143, 24576, [N/A], 32, 29.81
2026/09/22 17:12:19.880, [N/A], 145, 24576, [N/A], 30, 27.36
2026/09/22 17:12:19.891, [N/A], 143, 24576, [N/A], 32, 29.81
2026/09/22 17:12:34.981, [N/A], 5508, 24576, [N/A], 31, 48.59
2026/09/22 17:12:34.988, [N/A], 143, 24576, [N/A], 32, 29.79
